panel,group,estimate,lower,upper,outcome,city_id,y
a,Direct,0.251888633350873,-0.333792307415339,0.885872566970571,,,
a,Connected-city,-3.52900292731926,-5.69317070405711,-1.48040947574098,,,
a,Total,-3.27711429396839,-5.47030097648428,-1.19193880729121,,,
b,Direct,-0.000324684147874762,-0.00905838834333661,0.00868748935819373,,,
b,Connected-city,-0.0905984561712969,-0.127402896930114,-0.0576215432754937,,,
b,Total,-0.0909231403191716,-0.127263242394521,-0.0555561300037873,,,
c,Local,-0.0866287837499201,-0.343660371403527,0.170402803903687,SO2 emissions,,
c,Connected-city,-0.523235281693284,-0.913878477428228,-0.13259208595834,SO2 emissions,,
c,Local,-0.0892639887894444,-0.334230892753215,0.155702915174326,NOx emissions,,
c,Connected-city,-0.554131146546346,-0.932067330576245,-0.176194962516447,NOx emissions,,
c,Local,0.00282095889772149,-0.199075779461616,0.204717697257059,Industrial soot emissions,,
c,Connected-city,-0.0947556794309119,-0.478128584541456,0.288617225679632,Industrial soot emissions,,
c,Local,-0.086781607155679,-0.369037758951914,0.195474544640556,Industrial air-emission composite,,
c,Connected-city,-0.495367630187127,-0.907445395691374,-0.0832898646828796,Industrial air-emission composite,,
d,Highly connected non-depopulating cities,-40.72377,,,SO[2],410400,20
d,Highly connected non-depopulating cities,-40.686563,,,SO[2],210200,19
d,Highly connected non-depopulating cities,-40.036218,,,SO[2],150200,18
d,Highly connected non-depopulating cities,-28.876793,,,SO[2],230100,17
d,Highly connected non-depopulating cities,-24.469745,,,SO[2],150100,16
d,Highly connected non-depopulating cities,-18.407711,,,SO[2],130300,15
d,Highly connected non-depopulating cities,-12.784737,,,SO[2],130800,14
d,Highly connected non-depopulating cities,-11.466985,,,SO[2],220100,13
d,Highly connected non-depopulating cities,-10.67036,,,SO[2],411000,12
d,Highly connected non-depopulating cities,-7.342571,,,SO[2],150400,11
d,Highly connected non-depopulating cities,-3.268533,,,SO[2],230800,10
d,Highly connected non-depopulating cities,-2.639592,,,SO[2],610900,9
d,Highly connected non-depopulating cities,-0.352279,,,SO[2],411600,8
d,Highly connected non-depopulating cities,0.408988,,,SO[2],230600,7
d,Highly connected non-depopulating cities,0.558887,,,SO[2],411700,6
d,Highly connected non-depopulating cities,7.386301,,,SO[2],211300,5
d,Highly connected non-depopulating cities,8.484831,,,SO[2],210100,4
d,Highly connected non-depopulating cities,17.177851,,,SO[2],211100,3
d,Highly connected non-depopulating cities,24.673628,,,SO[2],150500,2
d,Depopulating cities,-34.402683,,,SO[2],230200,54
d,Depopulating cities,-28.671132,,,SO[2],211400,53
d,Depopulating cities,-27.071733,,,SO[2],211200,52
d,Depopulating cities,-19.003033,,,SO[2],210800,51
d,Depopulating cities,-18.227364,,,SO[2],210700,50
d,Depopulating cities,-16.18891,,,SO[2],220500,49
d,Depopulating cities,-16.171552,,,SO[2],231000,48
d,Depopulating cities,-14.674226,,,SO[2],150900,47
d,Depopulating cities,-13.392358,,,SO[2],220200,46
d,Depopulating cities,-12.975717,,,SO[2],230500,45
d,Depopulating cities,-12.491071,,,SO[2],220300,44
d,Depopulating cities,-11.683606,,,SO[2],220700,43
d,Depopulating cities,-11.294267,,,SO[2],150700,42
d,Depopulating cities,-9.06247,,,SO[2],210500,41
d,Depopulating cities,-7.004331,,,SO[2],210400,40
d,Depopulating cities,-6.393116,,,SO[2],230300,39
d,Depopulating cities,-6.027803,,,SO[2],411100,38
d,Depopulating cities,-5.015376,,,SO[2],220800,37
d,Depopulating cities,-4.736971,,,SO[2],210600,36
d,Depopulating cities,-4.675286,,,SO[2],230900,35
d,Depopulating cities,-4.233181,,,SO[2],220600,34
d,Depopulating cities,-3.950051,,,SO[2],231100,33
d,Depopulating cities,-3.065656,,,SO[2],150800,32
d,Depopulating cities,-2.422464,,,SO[2],230400,31
d,Depopulating cities,-1.315648,,,SO[2],420300,30
d,Depopulating cities,-0.773235,,,SO[2],230700,29
d,Depopulating cities,0.529363,,,SO[2],231200,28
d,Depopulating cities,1.14959,,,SO[2],210900,27
d,Depopulating cities,4.422735,,,SO[2],210300,26
d,Depopulating cities,6.808824,,,SO[2],211000,25
d,Depopulating cities,8.881769,,,SO[2],220400,24
d,Highly connected non-depopulating cities,-74.644357,,,NO[x],150100,20
d,Highly connected non-depopulating cities,-62.724339,,,NO[x],410400,19
d,Highly connected non-depopulating cities,-47.61374,,,NO[x],150200,18
d,Highly connected non-depopulating cities,-34.448449,,,NO[x],210200,17
d,Highly connected non-depopulating cities,-22.221981,,,NO[x],220100,16
d,Highly connected non-depopulating cities,-22.151836,,,NO[x],230100,15
d,Highly connected non-depopulating cities,-18.350886,,,NO[x],411000,14
d,Highly connected non-depopulating cities,-16.17832,,,NO[x],130300,13
d,Highly connected non-depopulating cities,-15.825032,,,NO[x],210100,12
d,Highly connected non-depopulating cities,-14.299139,,,NO[x],130800,11
d,Highly connected non-depopulating cities,-5.416007,,,NO[x],411700,10
d,Highly connected non-depopulating cities,-4.068481,,,NO[x],230800,9
d,Highly connected non-depopulating cities,-3.621933,,,NO[x],411600,8
d,Highly connected non-depopulating cities,-1.687199,,,NO[x],610900,7
d,Highly connected non-depopulating cities,-1.01343,,,NO[x],230600,6
d,Highly connected non-depopulating cities,3.80457,,,NO[x],150400,5
d,Highly connected non-depopulating cities,4.785808,,,NO[x],211300,4
d,Highly connected non-depopulating cities,11.11746,,,NO[x],211100,3
d,Highly connected non-depopulating cities,24.756299,,,NO[x],150500,2
d,Depopulating cities,-50.84241,,,NO[x],230200,54
d,Depopulating cities,-45.201112,,,NO[x],150900,53
d,Depopulating cities,-43.959645,,,NO[x],220200,52
d,Depopulating cities,-43.026257,,,NO[x],211400,51
d,Depopulating cities,-38.372052,,,NO[x],210800,50
d,Depopulating cities,-27.156043,,,NO[x],231000,49
d,Depopulating cities,-19.924009,,,NO[x],220300,48
d,Depopulating cities,-17.669667,,,NO[x],210400,47
d,Depopulating cities,-14.025879,,,NO[x],210700,46
d,Depopulating cities,-13.922456,,,NO[x],220700,45
d,Depopulating cities,-12.641839,,,NO[x],150800,44
d,Depopulating cities,-12.621714,,,NO[x],210900,43
d,Depopulating cities,-12.50981,,,NO[x],230500,42
